Key,Type,Desc,Chinese (PRC),English,Chinese (Traditional),Japanese
b02/good self,Text,," Kio
【书柜上放满了书。】"," Kio
【There are books in the bookcase.】",,
b02/bad self,Text,," Kio
【书柜倒下了，地上都是书。】"," Kio
【Bookcase fell.】",,
b02/dont go back,Text,," Kio
【不想再下去。】"," Kio
【I don't want to go back.】",,
b02/no head,Text,," Kio
【头也没有了，好可怕。】"," Kio
【His head is gone...】",,
b02/dead,Text,," Kio
【已经断气了。】"," Kio
【He's dead for long.】",,
b02/picture,Text,," Kio
【普通的挂画，没什么特别。】"," Kio
【A painting. Nothing special.】",,
b02/.....,Text,," Kio
【。。。。。。】"," Kio
【...........】",,
b02/a0,Text,," Kio
【呼呼呼！终于逃出来了！】"," Kio
【Whooo...Finally I am out.】",,
b02/a2,Text,," Kio
【刚刚的到底是什么地方啊，怎么我会在里面的。】"," Kio
【Where was that stupid dungeon. Why was I there?】",,
b02/a3,Text,," Kio
【咦？！这里是！？】"," Kio
【Eh!? This place!?】",,
b02/a4,Text,," Kio
【这里不就是图书馆吗？】"," Kio
【Is it a library?】",,
b02/a5,Text,," Kio
【怎么图书馆下面会有一个这么恐怖的地下室？！】"," Kio
【Why is there a scary dungeon under the library!?】",,
b02/a6,Text,," Kio
【我是不是在做恶梦。】"," Kio
【Am I in a nightmare!?】",,
b02/a7,Text,," Kio
【（用力捏了一下自己的脸）】"," Kio
【(Pinch her face strongly)】",,
b02/a8,Text,," Kio
【好痛！！！！！！！！】"," Kio
【Painful!!!】",,
b02/b1,Text,," 受伤的人
【咳咳。。。。。。】"," Injured man
【(sign)....】",,
b02/b2,Text,," Kio
【啊！有活着的人！】"," Kio
【Ah! Somebody is still alive!】",,
b02/b3,Text,," Kio
【你没事吧！？】"," Kio
【Are you all right?】",,
b02/b4,Text,," 受伤的人
【我应该快要死掉了，咳咳。。。。。。】"," Injured man
【I...I am dying...】",,
b02/b5,Text,," Kio
【喂啊！坚持住啊！】"," Kio
【Please!! Hold on!!】",,
b02/b6,Text,," Kio
【好不容易见到一个活人，你不要挂啊！】"," Kio
【You are the only survivor I have met!!】",,
b02/b7,Text,," Kio
【呜呜呜呜呜呜呜呜！】"," Kio
【Please!! Don't!! Boohoo...】",,
b02/b8,Text,," 受伤的人
【我真的快坚持不住了，你要小心啊。】"," Onjured man
【Really I have no time....】",,
b02/b9,Text,," Kio
【这里到底怎么了，为什么会变成这样？】"," Kio
【What happened to this world!?】",,
b02/b10,Text,," 受伤的人
【我也不知道，地震之后，就出现很多怪物。】"," Injured man
【I don't know. There are a lot of monsters after an earthquake.】",,
b02/b11,Text,," 受伤的人
【这里外面已经沦陷了，本以为图书馆会安全。】"," Injured man
【I thought it should be safe in the library.】",,
b02/b12,Text,," 受伤的人
【结果怪物还是不知道从哪儿进来。】"," Injured man
【But I was wrong...】",,
b02/b13,Text,," 受伤的人
【感觉，时间和空间都错乱了。】"," Injured man
【It is like... Time and space is turning chaotic.】",,
b02/b14,Text,," 受伤的人
【图书馆也变得莫名其妙，咳咳。。。。。。】"," Injured man
【Library becomes baffling...】",,
b02/b15,Text,," 受伤的人
【图书馆居然还出现杀人的机关，你要小心啊。。】"," Injured man
【Beware of the snares in here.】",,
b02/b16,Text,," 受伤的人
【我快不行了。。。。。。】"," Injured man
【They are dangerous....】",,
b02/b17,Text,," Kio
【挺住啊！你你。。。你。。。】"," Kio
【Hey!! Hold on! Don't...】",,
b02/b18,Text,," 受伤的人
【再见了。。。。。（断气）】"," Injured man
【I feel.. sleepy...(passed)】",,
b02/b19,Text,," Kio
【呜呜呜呜！！啊啊啊！不要死啊！】"," Kio
【Boohooo!! NO!!】",,
b02/b20,Text,," Kio
【我自己一个好害怕。】"," Kio
【I am afraid!!!】",,
b02/b21,Text,," Kio
【看到活人还觉得有点希望，结果。。。。。。】"," Kio
【You are the only hope.. But....】",,
b02/b22,Text,," Kio
【起码让我知道你的名字嘛。。。。。。】"," Kio
【At least tell me your name....】",,
b02/b23,Text,," Kio
【呜呜呜呜。。。。。。】"," Kio
【Boohoooooo....】",,
b02/c0,Text,," Kio
【吓。。。。】"," Kio
【Ah!!!】",,
b02/c1,Text,," Kio
【吓死我了！！！】"," Kio
【Horrible!!!】",,
b02/hole,Text,," Kio
【老鼠洞！？】"," Kio
【Rat hole!?】",,
b02/hole2,Text,,要钻进去看看不？,Go inside the hole?,,
b02/e0,Text,," Kio
【怎么身体还是感觉毛毛的。】"," Kio
【A cold wind... It makes mel shivery.】",,
b02/e1,Text,," Kio
【难道刚刚的女鬼还没甩掉吗？】"," Kio
【Is that ghost still following me?】",,
b02/e2,Text,," Kio
【还是不要想了，赶紧离开这里。】"," Kio
【I'd better to move quickly. Don't think too much.】",,
b02/e3,Text,," Kio
【这里让人毛骨悚然的。】"," Kio
【it's creepy here.】",,
b02/e4,Text,," Kio
【！！！！！！！！】"," Kio
【!!!!!!!!!!】",,
b02/e5,Text,," Kio
【灯！！！！！！！！！】"," Kio
【The light!!!!】",,
b02/e6,Text,," Kio
【灯怎么灭了！！什么都看不到！】"," Kio
【Who turned the light off!! I can't see anything!!】",,
b02/e7,Text,," Kio
【是谁！！！！！！】"," Kio
【Who is there!!】",,
b02/e8,Text,," Kio
【赶紧给我出来！！！不要吓我好吗！！】"," Kio
【Don't scare me!!】",,
b02/e9,Text,," Illusion
【Kio。。。。。。】"," Illusion
【Kio......】",,
b02/e10,Text,," Illusion
【是我。。。。。。】"," Illusion
【It's me...】",,
b02/e11,Text,," Kio
【啊啊啊！！！！！啊！！！！！】"," Kio
【Ahhhhh!!!】",,
b02/e12,Text,," Kio
【啊啊啊啊啊！！！！！！！！！！！！】"," Kio
【No!!!!!!】",,
b02/e13,Text,," Kio
【对！！！对不起！！！！对不起！！】"," Kio
【I am sorry!! Sorry!!】",,
b02/e14,Text,," Kio
【原谅我！！！原谅我！！】"," Kio
【Forgive me!!】",,
b02/e15,Text,," Kio
【我也不想拿你的头到处放的。】"," Kio
【I don't wish to place your head anywhere.】",,
b02/e16,Text,," Illusion
【Kio。。。】"," Illusion
【Kio....】",,
b02/e17,Text,," Illusion
【我没责怪你。。】"," Illusion
【I am not going to blame you..】",,
b02/e18,Text,," Illusion
【多明妮还活着。。。】"," Illusion
【Domini is still alive..】",,
b02/e19,Text,," Illusion
【你快去救她。。】"," Illusion
【Go and save  her..】",,
b02/e20,Text,," Kio
【啊。。。。】"," Kio
【Ah...】",,
b02/e21,Text,," Kio
【那。。。。那我。。。】"," Kio
【But...I....】",,
b02/e22,Text,," Kio
【那我该怎么办！】"," Kio
【How can I make it!?】",,
b02/e23,Text,," Illusion
【这里有张地图，可以指引你离开图书馆。】"," Illusion
【Here is a map which is useful to you.】",,
b02/e24,Text,," Illusion
【不过，使用的时候要小心。】"," Illusion
【Be careful when reading it.】",,
b02/e25,Text,," Kio
【谢。。。。谢谢你。。】"," Kio
【Thank you...】",,
b02/e26,Text,," Kio
【谢谢你！！illusion！！！】"," Kio
【Thank you very much!!illusion!!】",,
b02/e27,Text,," Kio
【我一定会把多明妮救出来的！！！】"," Kio
【I promise I will save Domini!!】",,
b02/e28,Text,," Illusion
【嗯。。。。那我先走了。。。】"," Illusion
【Um..I am leaving...】",,
b02/e29,Text,," Illusion
【对了。。。kio】"," Illusion
【Well, Kio...】",,
b02/e30,Text,," Illusion
【死后，非常痛苦。。。非常的痛苦。。】"," Illusion
【It's suffering when I am dead...】",,
b02/c map,Text,,获得受诅咒的地图,Get a cursed map,,
b03/map,Text,," Kio
【普通的地图，没什么特别。】"," Kio
【A map. Nothing special.】",,
b03/r1,Text,," Kio
【哇！好臭！！！！】"," Kio
【Wow!! Stinky!!】",,
b03/r2,Text,," Kio
【怎么有这么多垃圾在这里。】"," Kio
【There is rubbish!】",,
b03/m0,Text,," Kio
【不知道是什么机器。】"," Kio
【Unknown machine..】",,
b04/c0,Text,,拾取了防毒面具,Pick a gas mask,,
b04/c1,Text,," Kio
【静止的时钟，似乎坏掉了。】"," Kio
【A broken clock.】",,
b04/c2,Text,," Kio
【嗯？？？】"," Kio
【Um??】",,
b04/c3,Text,," Kio
【里面缺失了齿轮？】"," Kio
【It seems like a gear is missed.】",,
b04/c4,Text,," Kio
【时钟开始动了。】"," Kio
【The clock begins ticking.】",,
b04/c5,Text,," Kio
【下面有东西伸了出来？】"," Kio
【Something appears at the bottom?】",,
menus/door lock other side,Text,,门貌似从另一边锁上了,Locked from other side,,
b05/c,Text,," Kio
【吊死了的尸体。。。。。。】"," Kio
【A hanging corpse....】",,
b05/a1,Text,," Kio
【不知道是什么。】"," Kio
【What is this?】",,
b05/a2,Text,," Kio
【有血从里面渗出来。】"," Kio
【There is blood come out of it.】",,
b06/map,Text,," Kio
【一张城市的地图，没什么特别。】"," Kio
【A map of the city. Nothing special.】",,
b07/w,Text,,要探头下去看看？,Look into the well?,,
b07/door,Text,,门紧紧的闭上,Door is locked,,
b07/m0,Text,," Kio
【不知道是什么机器。】"," Kio
【An unknown machine.】",,
b07/wrong,Text,,检测错误,Detect fail,,
b07/right,Text,,检测正确,Detect pass,,
b07/suit up,Text,,请佩戴好防毒套装进入,Please suit up before enter,,
b07/a0,Text,," Kio
【这样应该做好安全措施了吧。】"," Kio
【I think I can get in the room safely now.】",,
b07/a2,Text,," Kio
【那我出发了。】"," Kio
【Here we go.】",,
b07/no suit,Text,,要有防毒套装的工作人员方可进入,Require Anti-gas suit,,
b08/a,Text,," Kio
【哇！这里！！都是毒气！】"," Kio
【Ah! Is here the poison gas?】",,
b08/a2,Text,," Kio
【防毒套装的氧气似乎不多。】"," Kio
【It looks like there is insufficient oxygen in my suit.】",,
b08/a3,Text,," Kio
【得赶紧从这里逃出去才行。】"," Kio
【I'd better hurry to get out of here.】",,
menus/puzzle wrong,Text,,输入错误,Error,,
menus/pick library key,Text,,获得图书馆大门钥匙,Get a library key,,
menus/door open sound,Text,,门开了的声音,Souns like door is opened,,
b10/a0,Text,," Kio
【现在取得了大门钥匙，应该可以离开图书馆了。】"," Kio
【Well, I can leave library with this key now.】",,
bc02/aaa,Text,," Kio
【啊啊啊啊啊啊啊啊啊！】"," Kio
【Ahhhhhhh!!!】",,
bc03/a,Text,," Kio
【呼呼！终于出来了！】"," Kio
【(Sign) Finally I am out!】",,
bc03/a2,Text,," Kio
【防毒套装也不需要了。】"," Kio
【I think I don't need the anti-gas suit any more.】",,
bc03/a3,Text,," Kio
【终于能呼吸新鲜空气了。】"," Kio
【I was almost dead.】",,
bc03/a4,Text,," Kio
【刚刚差点被憋死。】"," Kio
【Thanks to the fresh air.】",,
bc03/a5,Text,," Kio
【现在取得了大门钥匙，应该可以离开图书馆了。】"," Kio
【I have the library key now. I can leave this place.】",,
bc03/hint,Text,,丢掉防毒套装,Take off the suit,,
items/kick?,Text,,用力拍它一下？,Kick it?,,
items/get a can,Text,,拾取了一罐广州汽水,Get a can,,
bstreet/bus,Text,," Kio
【里面貌似有人在说话，难道有其他活人？】"," Kio
【Listen! Somebody talks in the bus. Is there any survivor here?】",,
bstreet/bus hint,Text,,要进去看看不？,Get in the bus?,,
cstreet/get in laudry,Text,,一台洗衣间，要钻进去吗？,Get in the laudry machine?,,
dream2/a0,Text,," 多明妮
【咳咳！】"," Domini
【Cough!】",,
dream2/a1,Text,," 多明妮
【咳咳咳咳咳！】"," Domini
【Cough cough!!】",,
dream2/a2,Text,," 多明妮
【Kio！！！】"," Domini
【Kio!!!!】",,
dream2/a3,Text,," 多明妮
【救我！！】"," Domini
【Help!!】",,
dream2/a4,Text,," 多明妮
【救救我啊！！】"," Domini
【Help me!!】",,
dream2/a5,Text,," 多明妮
【呜呜呜呜呜呜呜！！】"," Domini
【Boohoo!!】",,
jihe/radio,Text,," Kio
【好像有什么声音在响。】"," Kio
【Some voice....】",,
jihe/lock hint,Text,,锁着的，需要钥匙才能打开,"It's lock, need a key to open",,
jihe/open hint,Text,,打开了,it's opened,,
jihe/a0,Text,," 哈迪
【为什么，为什么他们都不听我的。】"," Hardy
【Why!】",,
jihe/a1,Text,," 哈迪
【为什么他们都不听我的建议。】"," Hardy
【Why they don't accept me.】",,
jihe/a2,Text,," 哈迪
【是你们逼我的。】"," Hardy
【You force me.】",,
jihe/a3,Text,," 哈迪
【是你们逼我的！！】"," 哈迪
【That's you force me!!!】",,
jihe/a4,Text,," 哈迪
【我现在就是二代目了！！】"," Hardy
【I am the secound leader now!!】",,
jihe/a5,Text,," 哈迪
【所有人都得听我的！】"," Hardy
【Everyone should listen to me!!】",,
jihe/a6,Text,," 哈迪
【所有人！所有人都得听我的！】"," Hardy
【Everyone!! Ha ha ha ha ha!!!】",,
jihe/a7,Text,," Kio
【这个人精神状态好像有点问题。。。】"," Kio
【This guy looks like crazy..】",,
jihe/b0,Text,," Kio
【死掉了好一段时间的尸体。】"," Kio
【He was dead for long.】",,
jihe/b1,Text,," Kio
【有点臭味了。】"," Kio
【Stinky...】",,
jihe/gui,Text,," Kio
【摆放着很多游戏杂志。】"," Kio
【There are a lot of game magazines.】",,
jihe/tv,Text,," Kio
【4K分辨率的电视，好羡慕。】"," Kio
【A brand new TV set!! I like it.】",,
jihe/key,Text,,身上有一把钥匙，是否拾取？,Pick a key from the body?,,
jihe/key1,Text,,拾取了一把钥匙,Get a key,,
jihe/climb,Text,,要爬上去吗？,Climb up?,,
qimiao/jie,Text,," Kio
【莫名其妙的人。。。。。】"," Kio
【Ridiculous guy...】",,
qimiao/j0,Text,," Jor
【我要在你的脸上写一个惨字！！！！！】"," Jor
【I am going to write a ""dead"" word on your face!!】",,
qimiao/j1,Text,," Jor
【。\0.5。\0.5。\0.5。\0.5。\0.5。\0.5】"," Jor
【.\0.5.\0.5.\0.5.\0.5.\0.5.\0.5】",,
qimiao/j2,Text,," Jor
【忘了惨字怎么写了。。。。】"," Jor
【How to spell ""dead""...?】",,
qimiao/j3,Text,," Kio
【？？？？？？？？？？？？？？？】"," Kio
【?????】",,
qimiao/d,Text,," Kio
【死掉的人。】"," Kio
【A dead man.】",,
qimiao/b,Text,," Kio
【有很多书。】"," Kio
【Lots of books.】",,
qimiao/b1,Text,," Kio
【全部都是色情杂志。】"," Kio
【All of them are porn magazines..】",,
tx/c,Text,," Kio
【一堆肠子，好恶心。】"," Kio
【I don't want to look at it.】",,
tx/d,Text,," Kio
【死掉的人，感觉死了有一段时间了。】"," Kio
【A dead man. Feel like he was passed quit long.】",,
tx/b0,Text,," Kio
【腰部被咬开了。】"," Kio
【His waist is bitten off.】",,
tx/b1,Text,," Kio
【肠子露出出来。】"," Kio
【intestines expose out.】",,
tx/bb0,Text,," Kio
【脚部断了。】"," Kio
【Legs break.】",,
tx/bb1,Text,," Kio
【应该是失血过多而死的。】"," Kio
【A poor guy.】",,
tx/bbb,Text,," Kio
【感觉死者是个程序员。】"," Kio
【I think he is a programmer.】",,
tx/logo,Text,," Kio
【一直不知道这个形象是谁设计的。】"," Kio
【Who designed this ugly stuff?】",,
tx/book,Text,,"很多八卦杂志,要认真阅读吗？",Read the magazines?,,
savepants/al1,Text,,住宅,Flat,,
ll1/a0,Text,," 猫
【你好。】"," Cat
【Hello.】",,
ll1/a1,Text,," 猫
【如果想进入C菌的房间。】"," Cat
【If you want to get in a hidden place.】",,
ll1/a2,Text,," 猫
【就在这个房间待5分钟就会自动进入。】"," Cat
【Please stay here fo 5 minutes.】",,
ll2/a0,Text,," 骷髅
【不要走到我身后哦。】"," Skeleton
【DO NOT go behind me.】",,
ll2/a1,Text,," 骷髅
【嗯，我已经警告你了。】"," Skeleton
【Yes, I warn you.】",,
savepants/ar2,Text,,楼梯间,Stair well,,
rr1/a0,Text,," Kio
【！？？！？】"," Kio
【!?!?】",,
rr1/a1,Text,," Kio
【什么东西！？】"," Kio
【What!?】",,
astreet/a0,Text,," Kio
【！！！！！】"," Kio
【!!!!!】",,
astreet/a1,Text,," Kio
【城市！？】"," Kio
【A city!?】",,
astreet/a2,Text,," Kio
【城市怎么成这样了！！？】"," Kio
【What happened to this city!!?】",,
astreet/a3,Text,," Kio
【怎么被破坏成这样了！？】"," Kio
【Why was it ruined!?】",,
astreet/a4,Text,," Kio
【我的家，是不是也被破坏了？】"," Kio
【How about my home..was it destroyed too?】",,
astreet/a5,Text,," Kio
【先找个安全的地方整理一下自己的思绪吧。】"," Kio
【At first, I have to find a safe place. And figure out what to do next.】",,
astreet/b,Text,," Kio
【！！】"," Kio
【!!!】",,
astreet/b3,Text,," Kio
【！！！！】"," Kio
【!!!!!!】",,
astreet/b4,Text,," Kio
【好多僵尸！！！】"," Kio
【My god!! Zombies!!】",,
astreet/b5,Text,," Kio
【谁来救救我！！！】"," Kio
【Help!! Somebody hepls me!! 】",,
astreet/c0,Text,," 波波
【你没事吧？】"," Bobo
【Are you all right?】",,
astreet/c1,Text,," Kio
【是。。。是你救了我吗？】"," Kio
【Yes, I am. Did you save me?】",,
astreet/c2,Text,," 波波
【是的，你没事就好了。】"," Bobo
【Yes.】",,
astreet/c3,Text,," Kio
【谢！！谢谢你！！！太谢谢你了！！】"," Kio
【Thank you very much!! Really!!】",,
astreet/c4,Text,," 波波
【我叫做波波，请多多指教。】"," Bobo
【No worries. Please call me Bobo. How may I call you?】",,
astreet/c5,Text,," Kio
【我叫做Kio，我现在根本不知道自己应该能去哪。】"," Kio
【I am kio. I feel fear and hopelessness right now.】",,
astreet/c6,Text,," Kio
【什么朋友亲人都联系不上。】"," Kio
【I can't contact my friends.】",,
astreet/c7,Text,," Kio
【刚刚要不是你救我，可能我就没命了！】"," Kio
【If you don't save me I was already dead.】",,
astreet/c8,Text,," 波波
【没事，不用跟我客气。】"," Bobo
【Calm down please. You are safe now.】",,
astreet/c9,Text,," 波波
【不如你现在来我家吧，我家很安全。】"," Bobo
【How about you come to my home and take a break?】",,
astreet/c10,Text,," 波波
【外面雨这么大，小心感冒啊。】"," Bobo
【It's safer and warmer rather than outside.】",,
astreet/c11,Text,," Kio
【真的吗？！实在太谢谢你了！】"," Kio
【Really!? Thank you so much!】",,
astreet/c12,Text,," 波波
【跟我来吧，就在这里。】"," Bobo
【Follow me. Right there.】",,
dd/d0,Text,," 波波
【跟我来，走这边。】"," Bobo
【This way please.】",,
dd/lock0,Text,," Kio
【暂时还是别出去为妙。】"," Kio
【I don't think it's good to go outside.】",,
dd/d2,Text,," 波波
 【上面三楼就是我家了。】"," Bobo
 【My home is upstairs.】",,
dd/d3,Text,," Kio
【愿天堂没有僵尸。】"," Kio
【I wish you rest in peace.】",,
a00/dont go back,Text,," Kio
【不想再进去。】"," Kio
【I don't want to go back again.】",,
savepants/dd03,Text,,波波家门前,Front of Bo's home,,
d03/bobo catch,Text,," 波波
【哈哈哈，我找到你了！】"," Bobo
【Hahaha! I catch you!】",,
d03/air condition,Text,," Kio
【普通的空调，没什么特别】"," Kio
【An air conditioning. Nothing special.】",,
d03/gui,Text,," Kio
【鞋柜上摆放着鞋子。】"," Kio
【There are shoes in the shoecase.】",,
d03/light,Text,," Kio
【普通的灯。】"," Kio
【Standing lamp.】",,
d03/picture,Text,," Kio
【日本风格的挂画。】"," Kio
【Japanese style paiting.】",,
d03/table,Text,," Kio
【普通的饭桌。】"," Kio
【A table.】",,
d03/a0,Text,," 波波
【这里就是我家，蛮安全的。】"," Bobo
【Well, here is my home. It's safe.】",,
d03/a1,Text,," 波波
【现在外面的城市都乱成一片了。】"," 波波
【Currently it's chaotic outside.】",,
d03/a2,Text,," 波波
【我建议你还是留在这里比较好。】"," Bobo
【I think you'd better stay here.】",,
d03/a3,Text,," Kio
【真的十分感谢你。】"," Kio
【Thank you so much.】",,
d03/a4,Text,," Kio
【不过我还是希望能联系到我的朋友和家人。】"," Kio
【However I still want to get in touch with my friends and family.】",,
d03/a5,Text,," Kio
【你有电话可以借我打一下吗？】"," Kio
【May I use your phone?】",,
d03/a6,Text,," 波波
【现在电话都没用了，一律没有信号。】"," Bobo
【Now the phones are useless. They are all no signal.】",,
d03/a7,Text,," 波波
【对了，你累了这么久，先给你倒杯茶吧。】"," Bobo
【You are tired. I am going to give you a cup of tea.】",,
d03/a8,Text,," 波波
【等我一下。】"," Bobo
【Wait a secound.】",,
d03/b0,Text,," 波波
【来，趁热喝。】"," Bobo
【Take it yourself.】",,
d03/b1,Text,," Kio
【谢谢你。】"," Kio
【Thank you.】",,
d03/b2,Text,," Kio
【（咕噜咕噜地喝）】"," Kio
【(Drinking tea..)】",,
d03/b3,Text,," Kio
【咦。。。好晕。。。】"," Kio
【Eh?? I feel... dizzy...】",,
d03/b4,Text,," 波波
【嘿嘿嘿嘿。。。。。】"," 波波
【He he he he he...】",,
d03/b5,Text,," Kio
【怎么突然这么困。。】"," Kio
【Why do I feel sleepy...】",,
d03/b6,Text,," 波波
【刚刚的茶里面下了安眠药！嘿嘿嘿！】"," Bobo
【Because I put some sleeping pills in your cup!】",,
d03/b7,Text,," Kio
【什么！！你！！！！居然！！】 "," Kio
【What!! Seriously!?】 ",,
d03/b8,Text,," Kio
【你想怎样。。。】"," Kio
【What do you want to ...】",,
d03/b9,Text,," Kio
【。。。。。。】"," Kio
【.......】",,
d03/c0,Text,," 波波
【哈哈哈哈！！】"," Bobo
【Ha ha ha ha!!】",,
d03/c1,Text,," 波波
【真的太蠢了！！！】"," 波波
【You are stupid!!】",,
d03/c2,Text,," 波波
【我也有点渴了。（喝了一口茶）】"," Bobo
【I feel a little bit thirsty. (Drink the tea...)】",,
d03/c3,Text,," 波波
【咦！！！不小心自己也喝了一口！！！】"," Bobo
【What! I drink it!!】",,
d03/c4,Text,," 波波
【我是傻逼吗！！！】"," Bobo
【I am stupid too!!!】",,
d03/c5,Text,," 波波
【天啊！我也有点困了！！】"," Bobo
【Oh God! Sleepy!】",,
d03/c6,Text,," 波波
【不行，先把她绑起来！】"," Bobo
【Hold on! I have to tie her up at first!】",,
d03/c7,Text,," 波波
【先把手绑起来。】"," Bobo
【Tie her hands up..】",,
d03/c8,Text,," 波波
【不行了！太困了！绑了手应该没问题的。】"," Bobo
【Damn it!! Too sleepy! Tied up the hands should be no problem..】",,
d03/c9,Text,," 波波
【我也睡一觉再起来处置你！】"," Bobo
【I have to sleep well. I will punish you till I wake up.】",,
dream/a0,Text,," 多明妮
【Kio。。。】"," Domini
【Kio...】",,
dream/a1,Text,," 多明妮
【救我。。。。。。】"," Domini
【Help me...】",,
dream/a2,Text,," 多明妮
【呜呜呜。。。】"," Domini
【Woo woo woo...】",,
dream/a3,Text,," 多明妮
【好疼。。。呜呜呜】"," Domini
【Please help...】",,
d05/bed,Text,," Kio
【他睡着了，不要弄醒他。】"," Kio
【He's sleeping. Keep quiet.】",,
d05/pc,Text,," Kio
【普通的电脑，桌面上还有抽纸。】"," Kio
【Computer and tissue box on the desk.】",,
d05/tv,Text,," Kio
【哦，是wii游戏机，好怀念。】"," Kio
【Oh that's a wii machine. A good memory.】",,
d05/tv2,Text,," Kio
【回想起以前跟同学一起玩的画面呢。】"," Kio
【I miss the days when I play games with friends.】",,
d05/gui,Text,," Kio
【柜子里摆放着手办，都是裸露的女性呢。】"," Kio
【There are naked female figures in that case.】",,
d05/book,Text,," Kio
【都是漫画书，《漂流教室》，《漩涡》，《敏行快跑》】"," Kio
【There are many comic books.】",,
d05/book2,Text,," Kio
【《庸才》，《青春的幻想》。】"," Kio
【Most of them are H18..】",,
d05/a0,Text,," Kio
【啊！！！多明妮！！】"," Kio
【Ah!! Domini!!】",,
d05/a1,Text,," Kio
【原来。。。原来是做梦。。】"," Kio
【That..was a dream..】",,
d05/a2,Text,," Kio
【怎么我会睡过去了？】"," Kio
【Why did I sleep?】",,
d05/a3,Text,," Kio
【咦！！！？？？！？】"," Kio
【Eh!!??】",,
d05/a4,Text,," Kio
【手......手被绑起来了！】"," Kio
【My hands!! Can't move!】",,
d05/a5,Text,," Kio
【对了！一定是那个死宅搞的鬼......】"," Kio
【Oh!! It should be that guy!!】",,
d05/a6,Text,," Kio
【......难道！】"," Kio
【No!!】",,
d05/a7,Text,," Kio
【我刚刚被玷污了吗！！！】"," Kio
【What if that shit did something to me!?!?】",,
d05/a8,Text,," Kio
【.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.】"," Kio
【.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.】",,
d05/a9,Text,," Kio
【.\0.1.\0.1.\0.1.\0.1.\0.1.】"," Kio
【.\0.1.\0.1.\0.1.\0.1.\0.1.】",,
d05/a10,Text,," Kio
【\0.1.\0.1.】"," Kio
【\0.1.\0.1.】",,
d05/a11,Text,," Kio
【应该没有的......】"," Kio
【I think it shouldn't be..】",,
d05/a12,Text,," Kio
【不要自己吓自己......】"," Kio
【Let me calm. Let me calm...】",,
d05/a13,Text,," Kio
【但......但是如果有怎么办？！！？】"," Kio
【But..If he did, how can I...】",,
d05/a14,Text,," Kio
【......】"," Kio
【......】",,
d05/a15,Text,," Kio
【不可能，衣服还这么整齐。】"," Kio
【Impossible. I am still wearing my clothes.】",,
d05/a16,Text,," Kio
【但，但是他抓我起来想干嘛。】"," Kio
【But, what does he want to do to me?】",,
d05/a17,Text,," 波波
【ZZZZZZZZZZZZZZZZZZZZZZZzzzzzzzzzzzzzz】"," Bobo
【ZZZZZZZZZZZZZZZZZZZZZZZzzzzzzzzzzzzzz】",,
d05/a18,Text,," Kio
【他好像睡着了，趁机溜出去吧！】"," Kio
【Anyway, it's a good chance to run when he is sleeping.】",,
d05/b0,Text,," Kio
【上锁了，感觉我的东西都在里面。】"," Kio
【It's lock. I think all of my items are in this case.】",,
d05/b1,Text,," Kio
【里面空空如也。】"," Kio
【It's empty.】",,
d05/b2,Text,," Kio
【太好了，所有物品都拿回来了。】"," Kio
【Great, my things are back to me.】",,
d05/b3,Text,," Kio
【我该好好处理一下这个死胖子。】"," Kio
【It's about time to revenge.】",,
d05/aa,Text,," Kio
【怎......怎么回事？】"," Kio
【What happened to me??】",,
d04/a0,Text,," 波波
【原来你在这里！】"," Bobo
【You are here!】",,
d04/a1,Text,," 波波
【我还以为你不见了。】"," Bobo
【I thought you are gone.】",,
d04/a2,Text,," Kio
【你不要过来！你这个恶心的东西！】"," Kio
【Stay there! Stinky shit!!】",,
d04/p0,Text,,身上发现住宅钥匙，是否拾取？,Found a key. Pick it up?,,
d04/p1,Text,,捡到住宅钥匙,Get a key,,
d04/b0,Text,," 波波
【啊！怎！！怎么可能！！】"," Bobo
【Ah! Impossible!】",,
d04/b1,Text,," 波波
【你什么时候！！拿回武器的！！】"," Bobo
【When did you get your gears back!】",,
d04/b2,Text,," Kio
【去死吧！】"," Kio
【Go to hell!】",,
d04/b3,Text,," Kio
【不想再看到你的脸！！】"," Kio
【I don't want to see you any more!】",,
d06/f0,Text,," Kio
【不想再打开冰箱。】"," Kio
【I don't want to open again.】",,
d06/f1,Text,," Kio
【这是什么......太......太可怕了。】"," Kio
【What is this!! Scary!】",,
d06/f2,Text,," Kio
【怎么会有两个人头在这里！】"," Kio
【Why are there two heads in the fridge!?】",,
d06/f3,Text,," Kio
【难道本来也打算把我这样处置吗？】"," Kio
【Does he want to do to me in this way?】",,
d06/f3[touch],Text,," Kio
【难道本来也打算把我这样处置吗？】"," Kio
【Does he want to do it in this way?】",,
d06/f4,Text,," Kio
【等等，好像有把钥匙。】"," Kio
【Hold on. There is a key.】",,
d06/f99,Text,," Kio
【手被绑着，取到钥匙也难以使用，先想办法让手松开吧。】"," Kio
【I have to free my hands before getting the key.】",,
d06/f99[touch],Text,," Kio
【手被绑着，取到钥匙也难以使用，先想办法让手松开吧。】"," Kio
【I have to free my hand before getting the key.】",,
