Key,Type,Desc,English,Chinese (PRC),Chinese (Traditional),Japanese
b02/bad self,Text,," Kio
【Bookcase fell.】"," Kio
【书柜倒下了，地上都是书。】",,
b02/dont go back,Text,," Kio
【I don't want to go back.】"," Kio
【不想再下去。】",,
b02/no head,Text,," Kio
【His head is gone...】"," Kio
【头也没有了，好可怕。】",,
b02/dead,Text,," Kio
【He's dead for long.】"," Kio
【已经断气了。】",,
b02/picture,Text,," Kio
【A painting. Nothing special.】"," Kio
【普通的挂画，没什么特别。】",,
b02/.....,Text,," Kio
【...........】"," Kio
【。。。。。。】",,
b02/a0,Text,," Kio
【Whooo...Finally I am out.】"," Kio
【呼呼呼！终于逃出来了！】",,
b02/a2,Text,," Kio
【What was that stupid dungeon. Why was I there?】"," Kio
【刚刚的到底是什么地方啊，怎么我会在里面的。】",,
b02/a3,Text,," Kio
【Eh!? This place!?】"," Kio
【咦？！这里是！？】",,
b02/a4,Text,," Kio
【Is it a library?】"," Kio
【这里不就是图书馆吗？】",,
b02/a5,Text,," Kio
【Why is there a scary dungeon under the library!?】"," Kio
【怎么图书馆下面会有一个这么恐怖的地下室？！】",,
b02/a6,Text,," Kio
【Am I in a nightmare!?】"," Kio
【我是不是在做恶梦。】",,
b02/a7,Text,," Kio
【(Pinch her face strongly)】"," Kio
【（用力捏了一下自己的脸）】",,
b02/a8,Text,," Kio
【Painful!!!】"," Kio
【好痛！！！！！！！！】",,
b02/b1,Text,," Injured man
【(sign)....】"," 受伤的人
【咳咳。。。。。。】",,
b02/b2,Text,," Kio
【Ah! Somebody is still alive!】"," Kio
【啊！有活着的人！】",,
b02/b3,Text,," Kio
【Are you all right?】"," Kio
【你没事吧！？】",,
b02/b4,Text,," Injured man
【I...I am dying...】"," 受伤的人
【我应该快要死掉了，咳咳。。。。。。】",,
b02/b5,Text,," Kio
【Please!! Hold on!!】"," Kio
【喂啊！坚持住啊！】",,
b02/b6,Text,," Kio
【You are the only survivor I have met!!】"," Kio
【好不容易见到一个活人，你不要挂啊！】",,
b02/b7,Text,," Kio
【Please!! Don't!! Boohoo...】"," Kio
【呜呜呜呜呜呜呜呜！】",,
b02/b8,Text,," Injured man
【I am running out of time, be careful yourself....】"," 受伤的人
【我真的快坚持不住了，你要小心啊。】",,
b02/b9,Text,," Kio
【What happened to this world!?】"," Kio
【这里到底怎么了，为什么会变成这样？】",,
b02/b10,Text,," Injured man
【I don't know. There are a lot of monsters after an earthquake.】"," 受伤的人
【我也不知道，地震之后，就出现很多怪物。】",,
b02/b11,Text,," Injured man
【I thought it should be safe in the library.】"," 受伤的人
【这里外面已经沦陷了，本以为图书馆会安全。】",,
b02/b12,Text,," Injured man
【But I was wrong...】"," 受伤的人
【结果怪物还是不知道从哪儿进来。】",,
b02/b13,Text,," Injured man
【It is like... Time and space is turning chaotic.】"," 受伤的人
【感觉，时间和空间都错乱了。】",,
b02/b14,Text,," Injured man
【Library becomes baffling...】"," 受伤的人
【图书馆也变得莫名其妙，咳咳。。。。。。】",,
b02/b15,Text,," Injured man
【Beware of the dangerous snares around here.】"," 受伤的人
【图书馆居然还出现杀人的机关，你要小心啊。。】",,
b02/b16,Text,," Injured man
【Are you still here....?】"," 受伤的人
【我快不行了。。。。。。】",,
b02/b17,Text,," Kio
【Yes! Yes! Look at me!】"," Kio
【挺住啊！你你。。。你。。。】",,
b02/b18,Text,," Injured man
【I feel.. sleepy...(passed)】"," 受伤的人
【再见了。。。。。（断气）】",,
b02/b19,Text,," Kio
【Boohooo!! NO!!】"," Kio
【呜呜呜呜！！啊啊啊！不要死啊！】",,
b02/b20,Text,," Kio
【I am afraid!!!】"," Kio
【我自己一个好害怕。】",,
b02/b21,Text,," Kio
【You are the only hope.. But....】"," Kio
【看到活人还觉得有点希望，结果。。。。。。】",,
b02/b22,Text,," Kio
【At least tell me your name....】"," Kio
【起码让我知道你的名字嘛。。。。。。】",,
b02/b23,Text,," Kio
【Boohoooooo....】"," Kio
【呜呜呜呜。。。。。。】",,
b02/c0,Text,," Kio
【Ah!!!】"," Kio
【吓。。。。】",,
b02/c1,Text,," Kio
【Horrible!!!】"," Kio
【吓死我了！！！】",,
b02/hole,Text,," Kio
【Rat hole!?】"," Kio
【老鼠洞！？】",,
b02/hole2,Text,,Get inside the hole?,要钻进去看看不？,,
b02/e0,Text,," Kio
【A cold wind... It makes me shivery.】"," Kio
【怎么身体还是感觉毛毛的。】",,
b02/e1,Text,," Kio
【Is that ghost still following me?】"," Kio
【难道刚刚的女鬼还没甩掉吗？】",,
b02/e2,Text,," Kio
【I'd better to move quickly. Don't think too much.】"," Kio
【还是不要想了，赶紧离开这里。】",,
b02/e3,Text,," Kio
【it's creepy here.】"," Kio
【这里让人毛骨悚然的。】",,
b02/e4,Text,," Kio
【!!!!!!!!!!】"," Kio
【！！！！！！！！】",,
b02/e5,Text,," Kio
【The light!!!!】"," Kio
【灯！！！！！！！！！】",,
b02/e6,Text,," Kio
【Who turned the light off!! I can't see anything!!】"," Kio
【灯怎么灭了！！什么都看不到！】",,
b02/e7,Text,," Kio
【Who is there!!】"," Kio
【是谁！！！！！！】",,
b02/e8,Text,," Kio
【Don't scare me!!】"," Kio
【赶紧给我出来！！！不要吓我好吗！！】",,
b02/e9,Text,," Illusion
【Kio......】"," Illusion
【Kio。。。。。。】",,
b02/e10,Text,," Illusion
【It's me...】"," Illusion
【是我。。。。。。】",,
b02/e11,Text,," Kio
【Ahhhhh!!!】"," Kio
【啊啊啊！！！！！啊！！！！！】",,
b02/e12,Text,," Kio
【No!!!!!!】"," Kio
【啊啊啊啊啊！！！！！！！！！！！！】",,
b02/e13,Text,," Kio
【I am sorry!! Sorry!!】"," Kio
【对！！！对不起！！！！对不起！！】",,
b02/e14,Text,," Kio
【Forgive me!!】"," Kio
【原谅我！！！原谅我！！】",,
b02/e15,Text,," Kio
【I don't wish to place your head anywhere.】"," Kio
【我也不想拿你的头到处放的。】",,
b02/e16,Text,," Illusion
【Kio....】"," Illusion
【Kio。。。】",,
b02/e17,Text,," Illusion
【I am not going to blame you..】"," Illusion
【我没责怪你。。】",,
b02/e18,Text,," Illusion
【Domini is still alive..】"," Illusion
【多明妮还活着。。。】",,
b02/e19,Text,," Illusion
【Go and save  her..】"," Illusion
【你快去救她。。】",,
b02/e20,Text,," Kio
【Ah...】"," Kio
【啊。。。。】",,
b02/e21,Text,," Kio
【But...I....】"," Kio
【那。。。。那我。。。】",,
b02/e22,Text,," Kio
【How can I make it!?】"," Kio
【那我该怎么办！】",,
b02/e23,Text,," Illusion
【Here is a map which is useful to you.】"," Illusion
【这里有张地图，可以指引你离开图书馆。】",,
b02/e24,Text,," Illusion
【Be careful when reading it.】"," Illusion
【不过，使用的时候要小心。】",,
b02/e25,Text,," Kio
【Thank you...】"," Kio
【谢。。。。谢谢你。。】",,
b02/e26,Text,," Kio
【Thank you very much!!illusion!!】"," Kio
【谢谢你！！illusion！！！】",,
b02/e27,Text,," Kio
【I promise I will save Domini!!】"," Kio
【我一定会把多明妮救出来的！！！】",,
b02/e28,Text,," Illusion
【Um..I am leaving...】"," Illusion
【嗯。。。。那我先走了。。。】",,
b02/e29,Text,," Illusion
【The last thing...】"," Illusion
【对了。。。kio】",,
b02/e30,Text,," Illusion
【It's suffering when I am dead...】"," Illusion
【死后，非常痛苦。。。非常的痛苦。。】",,
b02/c map,Text,,Get a cursed map,获得受诅咒的地图,,
b03/map,Text,," Kio
【A map. Nothing special.】"," Kio
【普通的地图，没什么特别。】",,
b03/r1,Text,," Kio
【Wow!! Stinky!!】"," Kio
【哇！好臭！！！！】",,
b03/r2,Text,," Kio
【Who left the rubbish here!】"," Kio
【怎么有这么多垃圾在这里。】",,
b03/m0,Text,," Kio
【Unknown machine..】"," Kio
【不知道是什么机器。】",,
b04/c0,Text,,Get a gas mask,拾取了防毒面具,,
b04/c1,Text,," Kio
【A stopping clock.】"," Kio
【静止的时钟，似乎坏掉了。】",,
b04/c2,Text,," Kio
【Um??】"," Kio
【嗯？？？】",,
b04/c3,Text,," Kio
【It seems like a gear is missed.】"," Kio
【里面缺失了齿轮？】",,
b04/c4,Text,," Kio
【The clock begins ticking.】"," Kio
【时钟开始动了。】",,
b04/c5,Text,," Kio
【Something appears at the bottom?】"," Kio
【下面有东西伸了出来？】",,
menus/door lock other side,Text,,Locked from other side,门貌似从另一边锁上了,,
b05/c,Text,," Kio
【A hanging corpse....】"," Kio
【吊死了的尸体。。。。。。】",,
b05/a1,Text,," Kio
【What is this?】"," Kio
【不知道是什么。】",,
b05/a2,Text,," Kio
【It's bleeding...】"," Kio
【有血从里面渗出来。】",,
b06/map,Text,," Kio
【A map of the city. Nothing special.】"," Kio
【一张城市的地图，没什么特别。】",,
b07/w,Text,,Look into the well?,要探头下去看看？,,
b07/door,Text,,Door is locked,门紧紧的闭上,,
b07/m0,Text,," Kio
【An unknown machine.】"," Kio
【不知道是什么机器。】",,
b07/wrong,Text,,Detect fail,检测错误,,
b07/right,Text,,Detect pass,检测正确,,
b07/suit up,Text,,Please suit up before enter,请佩戴好防毒套装进入,,
b07/a0,Text,," Kio
【I think I can get in the room safely now.】"," Kio
【这样应该做好安全措施了吧。】",,
b07/a2,Text,," Kio
【Here we go.】"," Kio
【那我出发了。】",,
b07/no suit,Text,,Require Anti-gas suit,要有防毒套装的工作人员方可进入,,
b08/a,Text,," Kio
【Ah! Is here the poison gas?】"," Kio
【哇！这里！！都是毒气！】",,
b08/a2,Text,," Kio
【It looks like there is insufficient oxygen in my suit.】"," Kio
【防毒套装的氧气似乎不多。】",,
b08/a3,Text,," Kio
【I'd better hurry to get out of here.】"," Kio
【得赶紧从这里逃出去才行。】",,
menus/puzzle wrong,Text,,Error,输入错误,,
menus/pick library key,Text,,Get a library key,获得图书馆大门钥匙,,
menus/door open sound,Text,,Sounds like door is opened,门开了的声音,,
b10/a0,Text,," Kio
【Well, I can leave library with this key now.】"," Kio
【现在取得了大门钥匙，应该可以离开图书馆了。】",,
bc02/aaa,Text,," Kio
【Ahhhhhhh!!!】"," Kio
【啊啊啊啊啊啊啊啊啊！】",,
bc03/a,Text,," Kio
【(Sign) Finally I am out!】"," Kio
【呼呼！终于出来了！】",,
bc03/a2,Text,," Kio
【I think I don't need the anti-gas suit any more.】"," Kio
【防毒套装也不需要了。】",,
bc03/a3,Text,," Kio
【I was almost dead.】"," Kio
【终于能呼吸新鲜空气了。】",,
bc03/a4,Text,," Kio
【Thanks to the fresh air.】"," Kio
【刚刚差点被憋死。】",,
bc03/a5,Text,," Kio
【I have the library key now. I can leave this place.】"," Kio
【现在取得了大门钥匙，应该可以离开图书馆了。】",,
bc03/hint,Text,,Take off the suit,丢掉防毒套装,,
items/kick?,Text,,Kick it?,用力拍它一下？,,
items/get a can,Text,,Get a can,拾取了一罐广州汽水,,
bstreet/bus,Text,," Kio
【Listen! Somebody talks in the bus. Is there any survivor here?】"," Kio
【里面貌似有人在说话，难道有其他活人？】",,
bstreet/bus hint,Text,,Get in the bus?,要进去看看不？,,
cstreet/get in laudry,Text,,Get in the laudry machine?,一台洗衣间，要钻进去吗？,,
dream2/a0,Text,," Domini
【Cough!】"," 多明妮
【咳咳！】",,
dream2/a1,Text,," Domini
【Cough cough!!】"," 多明妮
【咳咳咳咳咳！】",,
dream2/a2,Text,," Domini
【Kio!!!!】"," 多明妮
【Kio！！！】",,
dream2/a3,Text,," Domini
【Help!!】"," 多明妮
【救我！！】",,
dream2/a4,Text,," Domini
【Help me!!】"," 多明妮
【救救我啊！！】",,
dream2/a5,Text,," Domini
【Boohoo!!】"," 多明妮
【呜呜呜呜呜呜呜！！】",,
jihe/radio,Text,," Kio
【Some voice....】"," Kio
【好像有什么声音在响。】",,
jihe/lock hint,Text,,"It locks, need a key to open",锁着的，需要钥匙才能打开,,
jihe/open hint,Text,,it's opened,打开了,,
jihe/a0,Text,," Hardy
【Why!】"," 哈迪
【为什么，为什么他们都不听我的。】",,
jihe/a1,Text,," Hardy
【Why they don't accept me.】"," 哈迪
【为什么他们都不听我的建议。】",,
jihe/a2,Text,," Hardy
【You force me.】"," 哈迪
【是你们逼我的。】",,
jihe/a3,Text,," Hardy
【That's you force me!!!】"," 哈迪
【是你们逼我的！！】",,
jihe/a4,Text,," Hardy
【I am the secound leader now!!】"," 哈迪
【我现在就是二代目了！！】",,
jihe/a5,Text,," Hardy
【Everyone should listen to me!!】"," 哈迪
【所有人都得听我的！】",,
jihe/a6,Text,," Hardy
【Everyone!! Ha ha ha ha ha!!!】"," 哈迪
【所有人！所有人都得听我的！】",,
jihe/a7,Text,," Kio
【This guy looks like crazy..】"," Kio
【这个人精神状态好像有点问题。。。】",,
jihe/b0,Text,," Kio
【He was dead for long.】"," Kio
【死掉了好一段时间的尸体。】",,
jihe/b1,Text,," Kio
【Stinky...】"," Kio
【有点臭味了。】",,
jihe/gui,Text,," Kio
【There are a lot of game magazines.】"," Kio
【摆放着很多游戏杂志。】",,
jihe/tv,Text,," Kio
【A brand new TV set!! I like it.】"," Kio
【4K分辨率的电视，好羡慕。】",,
jihe/key,Text,,Pick a key from the body?,身上有一把钥匙，是否拾取？,,
jihe/key1,Text,,Get a key,拾取了一把钥匙,,
jihe/climb,Text,,Climb up?,要爬上去吗？,,
qimiao/jie,Text,," Kio
【Ridiculous guy...】"," Kio
【莫名其妙的人。。。。。】",,
qimiao/j0,Text,," Jor
【I am going to write a ""dead"" word on your face!!】"," Jor
【我要在你的脸上写一个惨字！！！！！】",,
qimiao/j1,Text,," Jor
【.\0.5.\0.5.\0.5.\0.5.\0.5.\0.5】"," Jor
【。\0.5。\0.5。\0.5。\0.5。\0.5。\0.5】",,
qimiao/j2,Text,," Jor
【How to spell ""dead""...?】"," Jor
【忘了惨字怎么写了。。。。】",,
qimiao/j3,Text,," Kio
【?????】"," Kio
【？？？？？？？？？？？？？？？】",,
qimiao/d,Text,," Kio
【A dead man.】"," Kio
【死掉的人。】",,
qimiao/b,Text,," Kio
【Lots of books.】"," Kio
【有很多书。】",,
qimiao/b1,Text,," Kio
【All of them are porn magazines..】"," Kio
【全部都是色情杂志。】",,
tx/c,Text,," Kio
【I don't want to look at it.】"," Kio
【一堆肠子，好恶心。】",,
tx/d,Text,," Kio
【A dead man. Feel like he was passed quit long.】"," Kio
【死掉的人，感觉死了有一段时间了。】",,
tx/b0,Text,," Kio
【His waist was bitten off.】"," Kio
【腰部被咬开了。】",,
tx/b1,Text,," Kio
【intestines exposed out.】"," Kio
【肠子露出出来。】",,
tx/bb0,Text,," Kio
【Legs broke.】"," Kio
【脚部断了。】",,
tx/bb1,Text,," Kio
【A poor guy.】"," Kio
【应该是失血过多而死的。】",,
tx/bbb,Text,," Kio
【I think he is a programmer.】"," Kio
【感觉死者是个程序员。】",,
tx/logo,Text,," Kio
【Who designed this ugly stuff?】"," Kio
【一直不知道这个形象是谁设计的。】",,
tx/book,Text,,Read the magazines?,"很多八卦杂志,要认真阅读吗？",,
savepants/al1,Text,,Flat,住宅,,
ll1/a0,Text,," Cat
【Hello.】"," 猫
【你好。】",,
ll1/a1,Text,," Cat
【If you want to get in a hidden place.】"," 猫
【如果想进入C菌的房间。】",,
ll1/a2,Text,," Cat
【Please stay here fo 5 minutes.】"," 猫
【就在这个房间待5分钟就会自动进入。】",,
ll2/a0,Text,," Skeleton
【DO NOT go behind me.】"," 骷髅
【不要走到我身后哦。】",,
ll2/a1,Text,," Skeleton
【Yes, I warn you.】"," 骷髅
【嗯，我已经警告你了。】",,
savepants/ar2,Text,,Stair well,楼梯间,,
rr1/a0,Text,," Kio
【!?!?】"," Kio
【！？？！？】",,
rr1/a1,Text,," Kio
【What!?】"," Kio
【什么东西！？】",,
astreet/a0,Text,," Kio
【!!!!!】"," Kio
【！！！！！】",,
astreet/a1,Text,," Kio
【A city!?】"," Kio
【城市！？】",,
astreet/a2,Text,," Kio
【What happened to this city!!?】"," Kio
【城市怎么成这样了！！？】",,
astreet/a3,Text,," Kio
【Why was it ruined!?】"," Kio
【怎么被破坏成这样了！？】",,
astreet/a4,Text,," Kio
【How about my home..was it destroyed too?】"," Kio
【我的家，是不是也被破坏了？】",,
astreet/a5,Text,," Kio
【At first, I have to find a safe place. And figure out what to do next.】"," Kio
【先找个安全的地方整理一下自己的思绪吧。】",,
astreet/b,Text,," Kio
【!!!】"," Kio
【！！】",,
astreet/b3,Text,," Kio
【!!!!!!】"," Kio
【！！！！】",,
astreet/b4,Text,," Kio
【My god!! Zombies!!】"," Kio
【好多僵尸！！！】",,
astreet/b5,Text,," Kio
【Help!! Somebody hepls me!! 】"," Kio
【谁来救救我！！！】",,
astreet/c0,Text,," Bobo
【Are you all right?】"," 波波
【你没事吧？】",,
astreet/c1,Text,," Kio
【Yes, I am. Did you save me?】"," Kio
【是。。。是你救了我吗？】",,
astreet/c2,Text,," Bobo
【Yes.】"," 波波
【是的，你没事就好了。】",,
astreet/c3,Text,," Kio
【Thank you very much!! Really!!】"," Kio
【谢！！谢谢你！！！太谢谢你了！！】",,
astreet/c4,Text,," Bobo
【No worries. Please call me Bobo. How may I call you?】"," 波波
【我叫做波波，请多多指教。】",,
astreet/c5,Text,," Kio
【I am kio. I feel fear and hopelessness right now.】"," Kio
【我叫做Kio，我现在根本不知道自己应该能去哪。】",,
astreet/c6,Text,," Kio
【I can't get in touch with my friends.】"," Kio
【什么朋友亲人都联系不上。】",,
astreet/c7,Text,," Kio
【If you don't save me I was already dead.】"," Kio
【刚刚要不是你救我，可能我就没命了！】",,
astreet/c8,Text,," Bobo
【Calm down please. You are safe now.】"," 波波
【没事，不用跟我客气。】",,
astreet/c9,Text,," Bobo
【How about come to my home and take a break?】"," 波波
【不如你现在来我家吧，我家很安全。】",,
astreet/c10,Text,," Bobo
【It's safer and warmer rather than outside.】"," 波波
【外面雨这么大，小心感冒啊。】",,
astreet/c11,Text,," Kio
【Really!? Thank you so much!】"," Kio
【真的吗？！实在太谢谢你了！】",,
astreet/c12,Text,," Bobo
【Follow me. Right there.】"," 波波
【跟我来吧，就在这里。】",,
dd/d0,Text,," Bobo
【This way please.】"," 波波
【跟我来，走这边。】",,
dd/lock0,Text,," Kio
【I don't think it's good to go outside.】"," Kio
【暂时还是别出去为妙。】",,
dd/d2,Text,," Bobo
【My home is upstairs.】"," 波波
 【上面三楼就是我家了。】",,
dd/d3,Text,," Kio
【I wish you rest in peace.】"," Kio
【愿天堂没有僵尸。】",,
dd03/dont go back,Text,," Kio
【I don't want to go back again.】"," Kio
【不想再进去。】",,
savepants/dd03,Text,,Front of Bo's home,波波家门前,,
d03/bobo catch,Text,," Bobo
【Hahaha! I catch you!】"," 波波
【哈哈哈，我找到你了！】",,
d03/air condition,Text,," Kio
【An air conditioning. Nothing special.】"," Kio
【普通的空调，没什么特别】",,
d03/gui,Text,," Kio
【There are shoes in the shoecase.】"," Kio
【鞋柜上摆放着鞋子。】",,
d03/light,Text,," Kio
【Standing lamp.】"," Kio
【普通的灯。】",,
d03/picture,Text,," Kio
【Japanese style paiting.】"," Kio
【日本风格的挂画。】",,
d03/table,Text,," Kio
【A table.】"," Kio
【普通的饭桌。】",,
d03/a0,Text,," Bobo
【Well, here is my home. It's safe.】"," 波波
【这里就是我家，蛮安全的。】",,
d03/a1,Text,," Bobo
【Currently it's chaotic outside.】"," 波波
【现在外面的城市都乱成一片了。】",,
d03/a2,Text,," Bobo
【I think you'd better stay here.】"," 波波
【我建议你还是留在这里比较好。】",,
d03/a3,Text,," Kio
【Thank you so much.】"," Kio
【真的十分感谢你。】",,
d03/a4,Text,," Kio
【However I still want to get in touch with my friends and family.】"," Kio
【不过我还是希望能联系到我的朋友和家人。】",,
d03/a5,Text,," Kio
【May I use your phone?】"," Kio
【你有电话可以借我打一下吗？】",,
d03/a6,Text,," Bobo
【Now the phones are useless. They are all no signal.】"," 波波
【现在电话都没用了，一律没有信号。】",,
d03/a7,Text,," Bobo
【You seem to be tired. I am going to give you a cup of tea.】"," 波波
【对了，你累了这么久，先给你倒杯茶吧。】",,
d03/a8,Text,," Bobo
【Wait a secound.】"," 波波
【等我一下。】",,
d03/b0,Text,," Bobo
【Take it yourself.】"," 波波
【来，趁热喝。】",,
d03/b1,Text,," Kio
【Thank you.】"," Kio
【谢谢你。】",,
d03/b2,Text,," Kio
【(Drinking tea..)】"," Kio
【（咕噜咕噜地喝）】",,
d03/b3,Text,," Kio
【Eh?? I feel... dizzy...】"," Kio
【咦。。。好晕。。。】",,
d03/b4,Text,," Bobo
【Hey hey hey hey hey...】"," 波波
【嘿嘿嘿嘿。。。。。】",,
d03/b5,Text,," Kio
【Why do I feel sleepy...】"," Kio
【怎么突然这么困。。】",,
d03/b6,Text,," Bobo
【Because I put some sleeping pills in your cup!】"," 波波
【刚刚的茶里面下了安眠药！嘿嘿嘿！】",,
d03/b7,Text,," Kio
【What!! Seriously!?】 "," Kio
【什么！！你！！！！居然！！】 ",,
d03/b8,Text,," Kio
【What do you want to ...】"," Kio
【你想怎样。。。】",,
d03/b9,Text,," Kio
【.......】"," Kio
【。。。。。。】",,
d03/c0,Text,," Bobo
【Ha ha ha ha!!】"," 波波
【哈哈哈哈！！】",,
d03/c1,Text,," Bobo
【You are stupid!!】"," 波波
【真的太蠢了！！！】",,
d03/c2,Text,," Bobo
【I feel a little bit thirsty. (Drink the tea...)】"," 波波
【我也有点渴了。（喝了一口茶）】",,
d03/c3,Text,," Bobo
【Damn! I drank it!!】"," 波波
【咦！！！不小心自己也喝了一口！！！】",,
d03/c4,Text,," Bobo
【I am stupid too!!!】"," 波波
【我是傻逼吗！！！】",,
d03/c5,Text,," Bobo
【Oh God! Sleepy!】"," 波波
【天啊！我也有点困了！！】",,
d03/c6,Text,," Bobo
【Hold on! I have to tie her up at first!】"," 波波
【不行，先把她绑起来！】",,
d03/c7,Text,," Bobo
【Tie her hands up..】"," 波波
【先把手绑起来。】",,
d03/c8,Text,," Bobo
【Damn it!! Too sleepy! Tied up the hands should be no problem..】"," 波波
【不行了！太困了！绑了手应该没问题的。】",,
d03/c9,Text,," Bobo
【I will punish you after a sweet dream!!】"," 波波
【我也睡一觉再起来处置你！】",,
dream/a0,Text,," Domini
【Kio...】"," 多明妮
【Kio。。。】",,
dream/a1,Text,," Domini
【Help me...】"," 多明妮
【救我。。。。。。】",,
dream/a2,Text,," Domini
【Woo woo woo...】"," 多明妮
【呜呜呜。。。】",,
dream/a3,Text,," Domini
【Please help...】"," 多明妮
【好疼。。。呜呜呜】",,
d05/bed,Text,," Kio
【He's sleeping. Keep quiet.】"," Kio
【他睡着了，不要弄醒他。】",,
d05/pc,Text,," Kio
【Computer and tissue box on the desk.】"," Kio
【普通的电脑，桌面上还有抽纸。】",,
d05/tv,Text,," Kio
【Oh that's a Wii machine.】"," Kio
【哦，是wii游戏机，好怀念。】",,
d05/tv2,Text,," Kio
【I miss the days when I play games with friends.】"," Kio
【回想起以前跟同学一起玩的画面呢。】",,
d05/gui,Text,," Kio
【There are naked female figures in that case.】"," Kio
【柜子里摆放着手办，都是裸露的女性呢。】",,
d05/book,Text,," Kio
【There are many comic books.】"," Kio
【都是漫画书，《漂流教室》，《漩涡》，《敏行快跑》】",,
d05/book2,Text,," Kio
【Most of them are H18..】"," Kio
【《庸才》，《青春的幻想》。】",,
d05/a0,Text,," Kio
【Ah!! Domini!!】"," Kio
【啊！！！多明妮！！】",,
d05/a1,Text,," Kio
【That..was a dream..】"," Kio
【原来。。。原来是做梦。。】",,
d05/a2,Text,," Kio
【Why did I sleep?】"," Kio
【怎么我会睡过去了？】",,
d05/a3,Text,," Kio
【Eh!!??】"," Kio
【咦！！！？？？！？】",,
d05/a4,Text,," Kio
【My hands!! Can't move!】"," Kio
【手......手被绑起来了！】",,
d05/a5,Text,," Kio
【Oh!! It should be that guy!!】"," Kio
【对了！一定是那个死宅搞的鬼......】",,
d05/a6,Text,," Kio
【No!!】"," Kio
【......难道！】",,
d05/a7,Text,," Kio
【What if that shit did something bad to me!?!?】"," Kio
【我刚刚被玷污了吗！！！】",,
d05/a8,Text,," Kio
【.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.】"," Kio
【.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.\0.1.】",,
d05/a9,Text,," Kio
【.\0.1.\0.1.\0.1.\0.1.\0.1.】"," Kio
【.\0.1.\0.1.\0.1.\0.1.\0.1.】",,
d05/a10,Text,," Kio
【\0.1.\0.1.】"," Kio
【\0.1.\0.1.】",,
d05/a11,Text,," Kio
【I think it shouldn't be..】"," Kio
【应该没有的......】",,
d05/a12,Text,," Kio
【Let me calm. Let me calm...】"," Kio
【不要自己吓自己......】",,
d05/a13,Text,," Kio
【But..If he did, how can I...】"," Kio
【但......但是如果有怎么办？！！？】",,
d05/a14,Text,," Kio
【......】"," Kio
【......】",,
d05/a15,Text,," Kio
【Impossible. I am still wearing my clothes.】"," Kio
【不可能，衣服还这么整齐。】",,
d05/a16,Text,," Kio
【But, what does he want to do to me?】"," Kio
【但，但是他抓我起来想干嘛。】",,
d05/a17,Text,," Bobo
【ZZZZZZZZZZZZZZZZZZZZZZZzzzzzzzzzzzzzz】"," 波波
【ZZZZZZZZZZZZZZZZZZZZZZZzzzzzzzzzzzzzz】",,
d05/a18,Text,," Kio
【Anyway, it's a good chance to run when he is sleeping.】"," Kio
【他好像睡着了，趁机溜出去吧！】",,
d05/b0,Text,," Kio
【It's locked. I think all of my items are in this case.】"," Kio
【上锁了，感觉我的东西都在里面。】",,
d05/b1,Text,," Kio
【It's empty.】"," Kio
【里面空空如也。】",,
d05/b2,Text,," Kio
【Great, my things are back to me.】"," Kio
【太好了，所有物品都拿回来了。】",,
d05/b3,Text,," Kio
【It's about time to revenge.】"," Kio
【我该好好处理一下这个死胖子。】",,
d05/aa,Text,," Kio
【What happened to me??】"," Kio
【怎......怎么回事？】",,
d04/a0,Text,," Bobo
【You are here!】"," 波波
【原来你在这里！】",,
d04/a1,Text,," Bobo
【I thought you are gone.】"," 波波
【我还以为你不见了。】",,
d04/a2,Text,," Kio
【Stay there! Stinky shit!!】"," Kio
【你不要过来！你这个恶心的东西！】",,
d04/p0,Text,,Found a key. Pick it up?,身上发现住宅钥匙，是否拾取？,,
d04/p1,Text,,Get a key,捡到住宅钥匙,,
d04/b0,Text,," Bobo
【Ah! Impossible!】"," 波波
【啊！怎！！怎么可能！！】",,
d04/b1,Text,," Bobo
【When did you get your gears back!】"," 波波
【你什么时候！！拿回武器的！！】",,
d04/b2,Text,," Kio
【Go to hell!】"," Kio
【去死吧！】",,
d04/b3,Text,," Kio
【I don't want to see you any more!】"," Kio
【不想再看到你的脸！！】",,
d06/f0,Text,," Kio
【I don't want to open again.】"," Kio
【不想再打开冰箱。】",,
d06/f1,Text,," Kio
【What is this!! Scary!】"," Kio
【这是什么......太......太可怕了。】",,
d06/f2,Text,," Kio
【Why are there two heads in the fridge!?】"," Kio
【怎么会有两个人头在这里！】",,
d06/f3,Text,," Kio
【Does he want to do to me in this way?】"," Kio
【难道本来也打算把我这样处置吗？】",,
d06/f4,Text,," Kio
【Hold on. There is a key.】"," Kio
【等等，好像有把钥匙。】",,
d06/f99,Text,," Kio
【I have to free my hands before getting the key.】"," Kio
【手被绑着，取到钥匙也难以使用，先想办法让手松开吧。】",,
d06/f,Text,," Kio
【!!!!!!!!】"," Kio
【！！！！！！！！！！！！！！！！！！！！！！】",,
d06/fh,Text,,Pick the key in blood?,要取走染血钥匙吗？,,
d06/fp,Text,,Get the key from blood,拾取了血染的钥匙,,
d06/g,Text,," Kio
【Well, finally I free my hands.】"," Kio
【呼，手终于能自由活动了。】",,
